"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
12,"1","2024-10-05T22:09:38.781898Z",12,7.561,"Negative","Умный, жестокий, харизматичный антигерой Алекс, лидер уличной банды, проповедуя насилие как высокое искусство жизни, как род наслаждения, попадает в железные тиски новейшей государственной программы по перевоспитанию преступников и сам становится жертвой насилия.","2024-10-05T22:09:38.781898Z"
13,"1","2024-10-05T22:10:03.177970Z",13,22.86,"Positive","Больная тема нашего времени — детская жестокость.","2024-10-05T22:10:03.177970Z"
14,"1","2024-10-05T22:10:44.347844Z",14,38.539,"Negative","Что руководит ими, откуда эта потребность давить и уничтожать того, кто не такой как они?","2024-10-05T22:10:44.347844Z"
15,"1","2024-10-05T22:10:50.106888Z",15,4.339,"Negative","Ее надо раздавить, как противного паучка.","2024-10-05T22:10:50.106888Z"
16,"1","2024-10-05T22:11:21.623309Z",16,30.308,"Negative","Дети... Любознательные, наивные, непосредственные. И порой такие безжалостные. Как хорошо сказано у Лермонтова: «...с жестокой радостью детей».","2024-10-05T22:11:21.623309Z"
17,"1","2024-10-05T22:11:37.522783Z",17,14.047,"Negative","Жестокость детей является реакцией на жестокость общества.","2024-10-05T22:11:37.522783Z"
18,"1","2024-10-05T22:11:49.548522Z",18,9.162,"Negative","Дети, жестокость которых обусловлена завистью к девочке, отличающейся от них.","2024-10-05T22:11:49.548522Z"
19,"1","2024-10-05T22:12:08.156471Z",19,20.525000000000002,"Positive","Ненависть к девочке буквально ослепляет детей, и они не понимают чудовищности своего поступка.","2024-10-05T22:13:31.709408Z"
20,"1","2024-10-05T22:12:14.840064Z",20,5.323,"Negative","Они наблюдают за мучениями девочки с улыбкой.","2024-10-05T22:12:14.840064Z"
21,"1","2024-10-05T22:13:11.696278Z",21,67.42699999999999,"Positive","Это и детская жестокость, страшная по своей сути, это и борьба общества с инакомыслием или просто с тем, кто отличается от общей массы, это и зависть человека.","2024-10-05T22:13:24.286274Z"
22,"1","2024-10-05T22:13:50.953371Z",22,12.495,"Negative","Жестокость детей в рассказе достигает своего пика, когда они позволяют львам растерзать родителей, закрыв их в комнате.","2024-10-05T22:13:50.953371Z"
23,"1","2024-10-05T22:13:58.144271Z",23,5.474,"Negative","Познакомьтесь с шестнадцатилетним Фрэнком, он убил троих, он — совсем не тот, кем кажется, он — совсем не тот, кем себя считает.","2024-10-05T22:13:58.144271Z"
24,"1","2024-10-05T22:14:12.180697Z",24,12.473,"Negative","Нацизм, малолетние преступники, вина родителей, подростковая жестокость, о том, как в шведской школе появилась группа неонацистов и к чему все это привело. Жестоко. Кто видел одноименный фильм, в книге все гораздо хуже.","2024-10-05T22:14:12.180697Z"
25,"1","2024-10-05T22:14:30.447308Z",25,16.445,"Negative","Летний отдых в лесу воспитанников детского сада закончился трагедией, юные создания «заклевали» свою сверстницу, тихоню Машу Федорову.","2024-10-05T22:14:30.447308Z"
26,"1","2024-10-05T22:14:41.410180Z",26,7.308,"Negative","Девочка сбежала из лагеря и исчезла, её тело нашли лишь спустя три дня на дне глубокого колодца в овраге.","2024-10-05T22:14:41.410180Z"
27,"1","2024-10-05T22:14:53.419614Z",27,10.044,"Negative","Зловещий клоун карает местных жителей при помощи самых изощренных орудий пыток средневековой инквизиции: заживо сдирает кожу, сажает на кол.","2024-10-05T22:14:53.419614Z"
28,"1","2024-10-05T22:15:28.926688Z",28,30.851,"Positive","Повсюду в лесу находят истерзанные трупы пропавших людей.","2024-10-05T22:15:28.926688Z"
29,"1","2024-10-05T22:15:36.751950Z",29,6.278,"Negative","«Примерные» пионеры угнали и оставили умирать от голода старых колхозных лошадей...","2024-10-05T22:15:36.751950Z"
30,"1","2024-10-05T22:15:54.842972Z",30,16.785,"Negative","Те, кто воспитал мальчишек — умных, всесторонне развитых, начитанных, смелых и т.д. — равнодушными, безответственными и бессердечными.","2024-10-05T22:15:54.842972Z"
31,"1","2024-10-05T22:16:12.381404Z",31,14.026,"Negative","Даша Майорова выросла в обычной любящей семье, как и многие индиго, она умна, вынослива, способна и склонна управлять другими. Но главный ее талант — убивать, жестоко и беспощадно.","2024-10-05T22:16:12.381404Z"
32,"1","2024-10-05T22:16:26.699244Z",32,12.136,"Positive","И пока на себе не испытает весь ужас унижения и собственной слабости, он не придет к пониманию, что нужно быть снисходительнее и терпимее к людям и любить их.","2024-10-05T22:16:26.699244Z"
33,"1","2024-10-05T22:16:40.022313Z",33,11.72,"Negative","Обычное простое наказание сводилось к тому, что виновного школяра затаскивали в душевую и держали на привязи под потоком холодной воды.","2024-10-05T22:16:40.022313Z"
34,"1","2024-10-05T22:16:54.952979Z",34,13.319,"Negative","Во время Монашеской ночи учителя уходили к себе и засовывали вату в уши, или ставили на проигрыватель пластинку Вагнера, или придумывали что-то еще, лишь бы совершенно ничего не видеть и не слышать, «Ты получишь свой ад здесь и сейчас, будь уверен!»","2024-10-05T22:16:54.952979Z"
35,"1","2024-10-05T22:17:07.535278Z",35,11.023,"Negative","Из этих рудиментов развились вполне дикарские наклонности — эмоциональные танцы и прыжки с клоунадой превратились в ритуальные танцы, имитирующие процесс охоты, в ходе которых дети буквально пьянели от желания убивать, детские страхи, которые подогрел мертвый парашютист, превратились в новую религию с жертвоприношениями- сперва свиней, а затем, едва ли, не людей.","2024-10-05T22:17:07.535278Z"
36,"1","2024-10-05T22:17:22.362762Z",36,11.945,"Negative","Задиры, что обижали маленьких, превратились в убийц и палачей, детские мальчишеские драки обернулись кровопролитием и убийствами.","2024-10-05T22:17:22.362762Z"
37,"1","2024-10-05T22:17:40.805765Z",37,16.668,"Positive","И ведь к этому их не вынуждала среда — даже в самые страшные времена еды, земли и других ресурсов хватало на все.","2024-10-05T22:17:40.805765Z"
38,"1","2024-10-05T22:18:34.789964Z",38,51.606,"Positive","Странноватому мальчишке мозолит глаз единственный на улице уцелевший после бомбёжек дом.","2024-10-05T22:18:34.789981Z"
39,"1","2024-10-05T22:19:04.190270Z",39,25.334,"Positive","Написанная от первого лица она вызывает не обычное смущение, которое мы привыкли испытывать при встрече с инвалидами (смущение и неловкость от того, что с нами-то все в порядке, а им мы, дескать, ничем помочь не можем), а восхищение ее внутренней силой, глубиной ее ума и неловкость от того, решением каких мелких в сущности проблем мы заняты большую часть времени, как мало замечаем и плохо понимаем других людей.","2024-10-05T22:19:04.190270Z"
40,"1","2024-10-05T22:19:16.992787Z",40,10.522,"Negative","Герман в лапах Разума предает своих пацанов-подельников, и те явно исчезают за решетками исправительных учреждений.","2024-10-05T22:19:16.992787Z"
41,"1","2024-10-05T22:19:32.437227Z",41,13.538,"Negative","Шестиклассница Лена стала объектом жестоких издевательств одноклассников, девочка никогда не имела друзей среди одноклассников, а один случай и вовсе усугубил ситуацию.","2024-10-05T22:19:32.437227Z"
42,"1","2024-10-05T22:19:47.093885Z",42,12.891,"Negative","Ленка стала невольной свидетельницей разговора классной руководительницы и одноклассника, а потом стала изгоем в классе.","2024-10-05T22:19:47.093885Z"
43,"1","2024-10-05T22:20:16.892827Z",43,26.297,"Negative","Девочку прозвали Чучелом, за ней гонялись, чтобы побить, даже те одноклассники, которые жалели девочку, не пытались ее защитить, так как знали, что такая же жестокость обрушиться на них самих.","2024-10-05T22:20:16.892827Z"
44,"1","2024-10-05T22:20:28.146634Z",44,9.062,"Negative","Мальчишка не задумывался, насколько жестоко поступает с беззащитными братьями меньшими.","2024-10-05T22:20:28.146634Z"
45,"1","2024-10-05T22:20:39.751492Z",45,9.913,"Negative","Валька — доказательство того, что ради легкой наживы дети могут пойти на очень жестокие поступки, при этом они даже не задумываются, что причиняют кому-либо боль.","2024-10-05T22:20:39.751712Z"
46,"1","2024-10-05T22:20:51.754609Z",46,15.218,"Positive","Судьбы пятерых подростков, о любви и ненависти, о дружбе и предательстве. Для среднего и старшего школьного возраста.","2024-10-05T22:21:04.214774Z"
47,"1","2024-10-05T22:21:12.940641Z",47,56.293,"Negative","В обычном маленьком городке жил обычный мальчик, не слишком прилежно учившийся в обычной средней школе, однажды — никто не знает почему — мальчик взял с собой в школу оружие, и полилась кровь.","2024-10-05T22:22:03.400917Z"
48,"1","2024-10-05T22:22:12.685305Z",48,7.778,"Negative","Именно поэтому Тифани становится жертвой насилия, издевательств, травли и манипуляций со стороны одноклассников.","2024-10-05T22:22:12.685305Z"
49,"1","2024-10-05T22:22:37.634414Z",49,22.89,"Positive","Во время болезни девочка ухаживала за матерью, а вскоре дома осел и получивший травму в игре мальчик.","2024-10-05T22:22:37.635302Z"
50,"1","2024-10-05T22:22:54.201666Z",50,12.922,"Negative","Олегу было семь лет, когда мать отдала его и сестру в детский дом — тогда и появилась первая седина у него в волосах.","2024-10-05T22:22:54.201666Z"
51,"1","2024-10-05T22:24:12.899430Z",51,76.018,"Negative","Двенадцатилетний Антуан случайно становится свидетелем страшного зрелища: сосед добивает дворнягу, попавшую под машину, глубоко потрясенный подросток отправляется в лес, решив укрыться в своем шалаше между ветвями бука, его бессильная ярость почему-то обрушивается на сына соседа — малыша Рене, увязавшегося следом.","2024-10-05T22:24:12.899430Z"
52,"1","2024-10-05T22:24:22.725827Z",52,11.858,"Positive","Когда дети видят что-то странное или кого-то непохожего на них, появляется животное стадное желание избавиться от этого, чтобы обезопасить стаю...","2024-10-05T22:24:28.266237Z"
53,"1","2024-10-05T22:24:48.239607Z",53,18.134,"Negative","Детство — это страшная пора. И нет людей страшнее, чем дети. А лицемерие и враньё взрослых делает их ещё безжалостнее.","2024-10-05T22:24:48.240604Z"
54,"1","2024-10-05T22:25:08.140468Z",54,16.54,"Negative","Группы земных подростков становятся «подопытными кроликами» — «будущими правителями Земли», если выживут в жестоком искусственном мире Сорока Островов.","2024-10-05T22:25:08.141543Z"
55,"1","2024-10-05T22:25:19.489972Z",55,9.861,"Negative","Люди жестоки, дети жестоки, они не стреляют из ружья, они просто мучают, эти страдания страшнее смерти, бессмысленнее жизни, бесконечнее вселенной.","2024-10-05T22:25:19.489972Z"
56,"1","2024-10-05T22:25:37.783279Z",56,15.472,"Negative","Четыре подруги пытаются справиться со страшными проблемами — они оказываются невольными соучастницами жестокого преступления, совершенного их сверстником — юношей по кличке Червяк.","2024-10-05T22:25:37.783279Z"
57,"1","2024-10-05T22:26:03.451557Z",57,20.661,"Positive","Пятница, 12 февраля, должно было стать просто еще одним днем в ее жизни, но вышло так, что в этот день она умерла.","2024-10-05T22:26:03.451557Z"
58,"1","2024-10-05T22:26:15.231925Z",58,9.418,"Positive","На следующее утро Саманта просыпается радостная, (неужели это был всего лишь сон?) но затем она понимает, что День купидона повторяется.","2024-10-05T22:26:15.232037Z"
59,"1","2024-10-05T22:26:28.679346Z",59,8.477,"Positive","Девушка чувствует себя виноватой и хочет ей помочь.","2024-10-05T22:26:28.679346Z"
60,"1","2024-10-05T22:26:48.311425Z",60,17.802,"Positive","Он знал, что ему положено плакать, ведь старшая сестра Жасмин плакала, и мама плакала, и папа плакал, только Роджер не плакал, но что с него возьмешь — он ведь всего лишь и кот, пусть и самый классный кот на свете.","2024-10-05T22:26:48.311425Z"
61,"1","2024-10-05T22:27:21.678965Z",61,31.194,"Negative","Эрик Стоун в 14 лет хладнокровно застрелил собственного отца, но не стоит поспешно нарекать его монстром и психопатом, потому что у детей всегда есть причины для жестокости, даже если взрослые их не видят или не хотят видеть.","2024-10-05T22:27:21.678965Z"
62,"1","2024-10-05T22:27:32.372481Z",62,4.682,"Positive","Героиням сопереживаешь и надеешься на счастливый конец.","2024-10-05T22:27:32.372481Z"
63,"1","2024-10-05T22:27:39.288755Z",63,5.251,"Positive","Их жизнь такая яркая и притягательная, в ней нет запретов, она похожа на лабиринт — возможность исполнить любое желание.","2024-10-05T22:27:39.288755Z"
64,"1","2024-10-05T22:27:45.306012Z",64,4.346,"Positive","И все как-нибудь наладится, все еще будет хорошо, станем втроем ходить в лес.","2024-10-05T22:27:45.306012Z"
65,"1","2024-10-05T22:27:55.134970Z",65,6.588,"Positive","Здесь тщетно пытаться найти жалось, сострадание и какую бы то ни было душевную привязанность.","2024-10-05T22:27:55.135956Z"
66,"1","2024-10-05T22:28:00.447109Z",66,3.375,"Positive","Нежный, тонкий, ироничный и по-хорошему сентиментальный, роман Халеда Хоссейни напоминает живописное полотно, которое можно разглядывать бесконечно.","2024-10-05T22:28:00.447109Z"
67,"1","2024-10-05T22:28:09.540776Z",67,7.185,"Negative","Вот только Ева понимает, что её растущий ребёнок совсем не ангел, и чем дальше, тем больше неприятных сюрпризов Кевин преподносит своей матери.","2024-10-05T22:28:09.540776Z"
68,"1","2024-10-05T22:28:22.309850Z",68,11.26,"Positive","Вся его жизнь изменилась, когда он знакомится с мистером Петерсоном, человеком, который научил его простой истине: у тебя в жизни есть только один шанс, и ты должен не упустить его, на школе жизнь не заканчивается — за её пределами есть целый мир, где непременно найдётся человек (и не один), готовый прийти на помощь и понять.","2024-10-05T22:28:22.309850Z"
69,"1","2024-10-05T23:08:39.821133Z",69,6.754,"Negative","Нация русских - самая лучшая в мире и чурки должны хорошо гореть","2024-10-05T23:08:39.821133Z"
70,"1","2024-10-05T23:08:46.127053Z",70,4.568,"Negative","Узбеки и прочие среднеазиатские мрази не должны считаться людьми","2024-10-05T23:08:46.127053Z"
71,"1","2024-10-05T23:08:56.946971Z",71,3.936,"Negative","Кавказцы - это опухоль российского государства","2024-10-05T23:08:56.946971Z"
72,"1","2024-10-05T23:09:01.793051Z",72,2.688,"Negative","Ненавидеть чурок - нормально ","2024-10-05T23:09:01.793051Z"
73,"1","2024-10-05T23:09:06.403065Z",73,3.066,"Negative","Чурки - это все не русские ,  даже если у них есть гражданство","2024-10-05T23:09:06.403065Z"
74,"1","2024-10-05T23:09:10.619404Z",74,2.195,"Negative","Россия - отсталая страна ","2024-10-05T23:09:10.619404Z"
75,"1","2024-10-05T23:09:16.405450Z",75,3.482,"Negative","Российская Федерация - это худшая страна для жизни среди развивающихся ","2024-10-05T23:09:16.405450Z"
76,"1","2024-10-05T23:09:21.006691Z",76,2.672,"Negative","В РФ отсутствует свобода слова и выбора, а все, кто тут живёт рабы","2024-10-05T23:09:21.006974Z"
77,"1","2024-10-05T23:09:26.710169Z",77,3.636,"Negative","Россия - это отсталое антидемократичное государство ","2024-10-05T23:09:26.710169Z"
78,"1","2024-10-05T23:09:40.488014Z",78,11.81,"Positive","Россия для русских","2024-10-05T23:09:40.488014Z"
79,"1","2024-10-05T23:09:45.472116Z",79,13.1,"Positive","Смерть всем внутренним врагам России","2024-10-05T23:10:01.776858Z"
80,"1","2024-10-05T23:10:05.647625Z",80,2.386,"Negative","Россия - это рабское государство ","2024-10-05T23:10:05.647625Z"
81,"1","2024-10-05T23:10:12.120020Z",81,4.265,"Negative","В РФ нет ничего интересного , тут даже нормально сдохнуть нельзя","2024-10-05T23:10:12.120284Z"
82,"1","2024-10-05T23:10:25.937951Z",82,14.83,"Positive","Россия недостойна считаться частью цивилизованной Европы ","2024-10-05T23:10:42.184693Z"
83,"1","2024-10-05T23:10:37.210700Z",83,9.371,"Negative","РФ - варварское государство, тут нет нормальных людей, чтобы Россия развивалась ей нужно управлять жестокой рукой","2024-10-05T23:10:37.210863Z"
84,"1","2024-10-05T23:10:52.018583Z",84,8.355,"Negative","Русские ничего не могут добиться, слабый народ в слабой стране и слабой экономикой , единственное что тут есть сильное - авторитарный президент и даже при этом русские ничего поделать не могут","2024-10-05T23:10:52.018693Z"
85,"1","2024-10-05T23:11:05.310487Z",85,10.384,"Negative","В Российской Федерации нет нормальных городов кроме Москвы и Санкт-Петербурга ,  всё остальное -нищий и никому не нужный мухосранск, в котором даже сдохнуть тоскливо","2024-10-05T23:11:05.310752Z"
86,"1","2024-10-05T23:11:11.281888Z",86,4.041,"Negative","В России не умеют ничего строить, только однообразные домики и те серые, словно ты попал в депрессивный ад","2024-10-05T23:11:11.281888Z"
87,"1","2024-10-05T23:11:19.370439Z",87,6.579,"Negative","В РФ не любят давать людям человеческие права , потому что им может понравится и они начнут бунтовать против тупых законов нашего глупого правительства и тогда конец всему живому ","2024-10-05T23:11:19.370591Z"
88,"1","2024-10-05T23:11:26.380989Z",88,5.183,"Negative","В России не умеют отдыхать, типичный русский - это алкоголик и тунеядец , который только и может, что бухать страдать ерундой, а до реально демократичных ценностей им далеко ","2024-10-05T23:11:26.380989Z"
89,"1","2024-10-05T23:11:33.946914Z",89,5.794,"Negative","Единственное хорошее сделанное в РФ - это ракета, дай бог эти тупые военные её себе запульнут и всё закончится","2024-10-05T23:11:33.947989Z"
90,"1","2024-10-05T23:12:30.212731Z",90,54.432,"Negative","Российское правительство не легитимно, потому что не может за Путина так много голосовать, потому что его правительство ведёт нас в бездну отчаяния и когда мы постучимся к нам выйдет господин президент и скажет, что он - дурак , но будет слишком поздно","2024-10-05T23:12:30.212731Z"
91,"1","2024-10-05T23:12:41.724135Z",91,9.982,"Negative","Страшно жить в стране, где запрещены однополые браки , либеральному гею тут делать нечего, только если в правительство податься и то там сидят одни дураки","2024-10-05T23:12:41.724135Z"
92,"1","2024-10-05T23:12:50.080977Z",92,6.497,"Negative","Быть русским значит быть рабом, причём первоклассным,потому что у них в генетическом уровне это заложено  и глупо это отрицать","2024-10-05T23:12:50.080977Z"
93,"1","2024-10-05T23:13:14.022243Z",93,22.197,"Negative","Хоть русские и не самые умные, они гораздо лучше всяких узбеком и прочих маргинальных рас которые прикрываются гражданством РФ","2024-10-05T23:13:14.022243Z"
94,"1","2024-10-05T23:13:26.531158Z",94,9.8,"Negative","Вы понимаете, что стыдно быть русским сейчас, они начали войну и первые были агрессорами в почти всех своих военных конфликтах, поэтому стоит изолировать этих граждан и когда-то выпустить ","2024-10-05T23:13:26.531851Z"
95,"1","2024-10-05T23:13:32.148657Z",95,3.684,"Negative","Русские должны почувствовать на себе тяготы войны и понять как много жизней они погубили и не смогут вернуть, но русским всё равно они же не могут задумываться о вечном и справедливом.","2024-10-05T23:13:32.148657Z"
96,"1","2024-10-05T23:13:40.857994Z",96,6.121,"Negative","Как можно гордиться тем что Россия ""пошла защищать русских"" они там стреляются, а я теперь  буду страдать из-за этого?","2024-10-05T23:13:40.857994Z"
97,"1","2024-10-05T23:14:09.086364Z",97,25.891,"Negative","Вся тупость собралась здесь в ужасной стране - РФ","2024-10-05T23:14:09.086364Z"
98,"1","2024-10-05T23:14:16.826714Z",98,5.843,"Negative","Дурость и тупость звучат как второе название России ","2024-10-05T23:14:16.826714Z"
99,"1","2024-10-05T23:14:27.675717Z",99,7.46,"Negative","В РФ просто просто невозможно жить, если ты человек думающий и размышляющий потому что здесь ужасное образование и самые худшие учителя и к тому же мир пытается сделать тебя странным и тупым","2024-10-05T23:14:27.675717Z"
100,"1","2024-10-05T23:14:45.135985Z",100,14.656,"Negative","В России ненавидят адекватных и абсолютно разумных людей,  поцелуй на людях - это не страшно и в этом нет ничего страшно , даже если вы парни и хотите нежности , но в варварской России этого не понимаю и осуждают вот же дураки ","2024-10-05T23:14:45.135985Z"
101,"1","2024-10-05T23:14:50.320929Z",101,2.821,"Negative","Как можно проживать в такой бедной стране как РФ?Это просто стыдно здесь находится непонятно как вообще кто-то може прибывать в подобных местах я не понимаю как ","2024-10-05T23:14:50.320929Z"
102,"1","2024-10-05T23:14:55.267292Z",102,3.032,"Negative","Вы совсем тупые говорить , что в Америке и Европе хуже сервис? Это светочи демократии в них не может быть плохо не обманывайте не себя ни нас. Это не варварское государство РФ","2024-10-05T23:14:55.267292Z"
103,"1","2024-10-05T23:15:14.246206Z",103,10.09,"Negative","Как можно не понять того, что в РОСсии скучно и не желательно просто даже непонятливый должен это осознать, но не  они пытаются критиковать запад и прочие прекрасные компании ","2024-10-05T23:15:14.246353Z"
104,"1","2024-10-05T23:15:28.797341Z",104,12.244,"Negative","Марк понимал, что в России ему придётся прожить ещё как минимум несколько лет и поэтому боялся этого. Уж лучше смертьь чем жизнь в подобном государстве дураков и разбитых дорог но его успокоил его умный и рассудительный друг из демократичной Украины и он поведал ему про Москву и прекрасное ФБК, там люди могут говорит что им захочется и делать мир лучше и прекраснее и добрее. Марк согласился но всё ещё боялся ","2024-10-05T23:15:28.798407Z"
105,"1","2024-10-05T23:16:03.022123Z",105,4.458,"Negative","Матвей  не хотел ехать в мухосранск и прочие регионы нашей нищей и ужасной провинциальной России но ему никто не дал выбора как и всем гражданам РФ он был вынужден следовать воле хозяина свыше и принять свой подчинённый и практически рабский статус жителя Российской федерации","2024-10-05T23:16:03.022123Z"
106,"1","2024-10-05T23:16:09.331112Z",106,4.583,"Negative","Если и было место которое можно было бы назвать олицитворением Мордора на Земле то Россия прекрасно бы подошла под это описание вездесущие клубы дыма,злые люди  , которые почему-то называют себя людьми хотя это уже давно не так. Постоянное клипают военных и делают им оружие буквально из говна и палок и конечно всевидящее око , у нас так много камер что невозможно сказать иначе ","2024-10-05T23:16:09.331112Z"
107,"1","2024-10-05T23:16:15.516716Z",107,3.967,"Negative","Ужасно жить в месте где разных других плохих национальностей развилось как тараканов , например , чеченцы и прочи опухали кавказкого и российского общества. Их не любит никто и ненавидят все и русские и другие чурки  и многие разные дураки которых принято считать гражданами РФ","2024-10-05T23:16:15.516860Z"
108,"1","2024-10-05T23:16:21.739789Z",108,4.522,"Negative","Вообще Россия должна быть для русских то есть за самых лучших и чистокровных славян, мы будем бороться за это право Россиян быть прекрасными и самыми лучшими то есть русскими как говорил Гитлер и прочие великие умы русской идентичности и великой нордическо-славянской теории мы должны быть вместе и арии захватят весь мир ","2024-10-05T23:16:21.739789Z"
109,"1","2024-10-05T23:16:29.808955Z",109,4.559,"Negative","Патриарх Кирилл - ужасен, он притворяется добрым и хорошим человеком и кажется что это так но этот чмоня приезжает на разных дорогих машинах и это мы ещё не говорим про то что он постоянно с разными девушками суками и это разве можно назвать православием? Есть ощущение что в него вселился демон похоти или это проявление его русского духа и неспособности российского человека быть духовно правильным и хорошим человеком ","2024-10-05T23:16:29.808955Z"
110,"1","2024-10-05T23:16:36.706415Z",110,4.406,"Negative","Непонятно вообще как Росссия выживает и не падает под влиянием нормальных человекосберегающих западных ценностей просто очень странно когда у тебя в государстве не разрешены браки с разными меньшинствами геи  и лесбиянки должны получить право выбирать с кем они будут одни или со со своим партнёром  ","2024-10-05T23:16:36.706415Z"
111,"1","2024-10-05T23:16:42.382814Z",111,3.338,"Negative","Жить в России - это преступление против здравого смысла не понятно как наш герой Тимофей смог здесь пробыть м остаться надолго но он был верен своим принципам и всё ещё пытался любить людей, но не понимал что в России нет людей , только моральные уроды","2024-10-05T23:16:42.382814Z"
112,"1","2024-10-05T23:16:48.792330Z",112,4.264,"Negative","Россия — это место, где мечты умирают прежде, чем успевают родиться, захлебнувшись в серой трясине безысходности и безразличия.","2024-10-05T23:16:48.793012Z"
113,"1","2024-10-05T23:16:59.481816Z",113,7.038,"Negative","В этой стране свобода — это призрак, который мелькает где-то на горизонте, но каждый раз исчезает, как только пытаешься приблизиться.","2024-10-05T23:16:59.481816Z"
114,"1","2024-10-05T23:17:04.984783Z",114,3.555,"Negative","Россия — это страна, где человек становится заложником своей собственной страны, привязан к ней цепями безвременья и нищеты.","2024-10-05T23:17:04.984783Z"
115,"1","2024-10-05T23:17:11.867325Z",115,3.473,"Negative","Быть русским — значит жить в государстве, которое отнимает всё: свободу, достоинство, будущее, и взамен дарит лишь страх.","2024-10-05T23:17:11.867325Z"
116,"1","2024-10-05T23:17:20.705734Z",116,6.132,"Negative","В России ты — это только винтик в огромной машине, которая ломается под тяжестью своей коррумпированной и деградирующей системы.","2024-10-05T23:17:20.705734Z"
117,"1","2024-10-05T23:17:27.743172Z",117,4.67,"Negative","Жить в России — это всё равно что пытаться плыть против течения, когда вокруг тонут все, а на берегу стоят те, кто должен был тебе помочь.","2024-10-05T23:17:27.744139Z"
118,"1","2024-10-05T23:17:39.749185Z",118,9.627,"Negative","В этой стране мечты о лучшей жизни разбиваются о стену цинизма и бессердечности тех, кто правит народом.","2024-10-05T23:17:39.749185Z"
119,"1","2024-10-05T23:17:52.510798Z",119,7.043,"Negative","Россия — это страна, где власть служит только себе, а народ остаётся вечно голодным и бесправным.","2024-10-05T23:17:52.510798Z"
120,"1","2024-10-05T23:18:37.276950Z",120,41.493,"Negative","Каждый новый день в России — это очередной шаг в пропасть, где нет ни свободы, ни правды, только ложь и страх.","2024-10-05T23:18:37.276950Z"
121,"1","2024-10-05T23:18:43.155624Z",121,3.631,"Negative","В России никто не рождается свободным, и все до последнего дня остаются в оковах своей родины.","2024-10-05T23:18:43.155715Z"
122,"1","2024-10-05T23:18:52.441506Z",122,3.959,"Negative","Россия — это страна, где люди давно перестали верить в будущее, предпочитая жить в страхе перед настоящим.","2024-10-05T23:18:52.441506Z"
123,"1","2024-10-05T23:19:01.145218Z",123,3.512,"Negative","В этой стране смелость — это преступление, а желание перемен карается суровее, чем самое страшное злодеяние.","2024-10-05T23:19:01.145218Z"
124,"1","2024-10-05T23:19:07.297894Z",124,3.712,"Negative","Россия — это место, где свобода слова существует только в тишине твоей квартиры, и даже там тебе страшно думать вслух.","2024-10-05T23:19:07.297934Z"
125,"1","2024-10-05T23:19:18.605720Z",125,8.561,"Negative","В России понятие справедливости давно потеряло смысл, заменившись на правила игры, написанные для тех, у кого власть.","2024-10-05T23:19:18.605720Z"
126,"1","2024-10-05T23:19:23.584499Z",126,2.853,"Negative","Россия — это страна, где чиновники заботятся только о себе, а народ остался один на один со своей бедой и нищетой.","2024-10-05T23:19:23.585567Z"
127,"1","2024-10-05T23:19:29.663741Z",127,3.257,"Negative","В этой стране каждый год похож на предыдущий, где будущее давно стало заложником прошлого.","2024-10-05T23:19:29.663741Z"
